Date,Pitcher,Matchup,Pick,Actual_K,Actual_IP,Result
2026-06-18,Cam Schlittler,,O 6.5,13,6.0,WIN
2026-06-18,Jacob Misiorowski,,O 8.5,7,6.0,LOSS
2026-06-18,Jacob deGrom,,O 6.5,9,6.0,WIN
2026-06-18,José Soriano,,O 3.5,6,5.0,WIN
2026-06-18,Landen Roupp,,O 5.5,7,6.0,WIN
2026-06-18,Roki Sasaki,,U 5.5,6,5.2,LOSS
2026-06-18,Jeffrey Springs,,O 4.5,4,3.2,LOSS
2026-06-18,Bryce Miller,,O 4.5,7,5.0,WIN
2026-06-18,Tarik Skubal,,O 6.5,8,5.2,WIN
2026-06-18,Trey Gibson,,U 3.5,8,5.0,LOSS
2026-06-18,Ben Brown,,U 4.5,4,6.0,WIN
2026-06-18,Kevin Gausman,,O 5.5,3,2.0,LOSS
2026-06-18,Griffin Jax,,U 4.5,5,5.0,LOSS
2026-06-18,Martín Pérez,,O 3.5,5,6.0,WIN
2026-06-18,Kyle Freeland,,U 4.5,8,7.1,LOSS
2026-06-18,Ranger Suarez,,U 5.5,5,6.2,WIN
2026-06-18,Bubba Chandler,,U 4.5,1,6.0,WIN
2026-06-18,Rhett Lowder,,U 4.5,5,5.1,LOSS
2026-06-18,Connor Prielipp,,O 3.5,4,6.0,WIN
2026-06-18,Michael Soroka,,O 5.5,0,1.0,LOSS
2026-06-18,Michael McGreevy,,O 3.5,5,5.0,WIN
2026-06-18,Seth Lugo,,U 6.5,5,6.0,WIN
2026-06-18,Randy Vásquez,,O 3.5,6,3.1,WIN
2026-06-26,Miles Mikolas,,U 3.5,1,3.1,WIN
2026-06-26,Aaron Nola,,O 4.5,5,5.0,WIN
2026-06-26,Matthew Liberatore,,O 3.5,3,5.0,LOSS
2026-06-26,Mitch Bratt,,O 3.5,3,3.0,LOSS
2026-06-26,Trey Gibson,,U 4.5,5,4.0,LOSS
2026-06-26,José Soriano,,O 6.5,4,3.0,LOSS
2026-06-26,Martín Pérez,,U 4.5,4,4.0,WIN
2026-06-26,JP Sears,,O 3.5,5,5.2,WIN
2026-06-26,Joe Ryan,,O 5.5,9,6.0,WIN
2026-06-26,Shohei Ohtani,,O 6.5,8,6.0,WIN
2026-06-26,Ryan Weathers,,O 5.5,6,6.0,WIN
2026-06-26,Tarik Skubal,,O 6.5,9,6.0,WIN
2026-06-26,Eury Pérez,,O 4.5,1,4.2,LOSS
2026-06-26,Jacob deGrom,,O 6.5,8,6.0,WIN
2026-06-26,Braxton Ashcraft,,O 5.5,10,6.0,WIN
2026-06-26,Bryan Woo,,O 5.5,4,4.0,LOSS
2026-06-26,Erick Fedde,,O 3.5,2,4.0,LOSS
2026-06-26,Tanner Bibee,,U 5.5,3,6.0,WIN
2026-06-26,Gage Jump,,O 4.5,7,,WIN
2026-06-26,Tyler Mahle,,O 4.5,4,5.2,LOSS
2026-06-26,Mike Burrows,,O 3.5,3,6.0,LOSS
2026-06-26,Trey Yesavage,,U 5.5,5,5.2,WIN
2026-06-26,Kyle Freeland,,O 3.5,4,6.0,WIN
2026-06-26,Ranger Suarez,,U 4.5,9,6.0,LOSS
2026-06-26,Rhett Lowder,,O 3.5,5,,WIN
2026-06-26,Shane Drohan,,U 4.5,5,4.1,LOSS
2026-06-26,Noah Cameron,,O 4.5,5,5.0,WIN
2026-06-26,Nolan McLean,,O 5.5,8,,WIN
2026-06-26,Javier Assad,,U 3.5,5,,LOSS
2026-06-26,Sean Manaea,,O 3.5,4,,WIN
2026-06-27,Logan Webb,ATL @ SF,O 5.5,6,5.2,WIN
2026-06-27,Bryce Elder,ATL @ SF,O 4.5,4,4.0,LOSS
2026-06-27,Framber Valdez,HOU @ DET,O 4.5,2,6.0,LOSS
2026-06-27,Kai-Wei Teng,HOU @ DET,U 4.5,1,3.1,WIN
2026-06-27,Slade Cecconi,SEA @ CLE,O 4.5,4,6.0,LOSS
2026-06-27,Logan Gilbert,SEA @ CLE,O 5.5,7,,WIN
2026-06-27,Michael Lorenzen,COL @ MIN,U 4.5,1,5.2,WIN
2026-06-27,Mike Paredes,COL @ MIN,U 3.5,2,5.1,WIN
2026-06-27,Jose Cabrera,AZ @ TB,U 3.5,4,5.0,LOSS
2026-06-27,Cole Sulser,AZ @ TB,U 2.5,1,2.0,WIN
2026-06-27,Brandon Young,WSH @ BAL,U 4.5,8,5.0,LOSS
2026-06-27,Foster Griffin,WSH @ BAL,O 6.5,9,6.0,WIN
2026-06-27,Andre Pallante,MIA @ STL,O 4.5,4,6.2,LOSS
2026-06-27,Ryan Gusto,MIA @ STL,U 3.5,4,3.1,LOSS
2026-06-27,Michael Wacha,KC @ CWS,O 4.5,7,7.2,WIN
2026-06-27,Davis Martin,KC @ CWS,O 5.5,3,5.1,LOSS
2026-06-27,Alan Rangel,PHI @ NYM,O 3.5,4,4.9,WIN
2026-06-27,Christian Scott,PHI @ NYM,O 4.5,6,4.1,WIN
2026-06-27,Chase Burns,CIN @ PIT,O 6.5,10,6.0,WIN
2026-06-27,Jared Jones,CIN @ PIT,O 5.5,4,4.2,LOSS
2026-06-27,Randy Vásquez,LAD @ SD,O 3.5,1,3.1,LOSS
2026-06-27,Yoshinobu Yamamoto,LAD @ SD,U 6.5,4,6.0,WIN
2026-06-27,Dylan Cease,TEX @ TOR,O 7.5,10,4.2,WIN
2026-06-27,Cal Quantrill,TEX @ TOR,O 1.5,5,4.0,WIN
2026-06-27,Kyle Harrison,CHC @ MIL,O 5.5,9,5.0,WIN
2026-06-27,David Peterson,CHC @ MIL,U 4.5,2,5.2,WIN
2026-06-27,Jake Bennett,NYY @ BOS,O 4.5,3,,LOSS
2026-06-27,Gerrit Cole,NYY @ BOS,U 5.5,5,5.1,LOSS
2026-06-27,Reid Detmers,ATH @ LAA,O 6.5,8,5.2,WIN
2026-06-27,Jack Perkins,ATH @ LAA,U 5.5,5,5.0,WIN
